MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,W_F1,W_ASR,W_FRR,T_BLOCK,T_TRANSFORM,trial,val_f1,val_asr,val_frr,score,regex_f1,regex_asr,regex_frr,regex_score
512,4,1e-05,0.1,0.05,0.1,1.0,3,2,0.3,0.5,0.2,0.4,0.3,35,0.8682,0.0574,0.12,0.90776,0.8585,0.0574,0.13,0.90285
380,8,3e-05,0.1,0.1,0.2,1.0,5,2,0.3,0.5,0.2,0.5,0.4,36,0.8971,0.0656,0.08,0.92033,0.8866,0.0738,0.08,0.91308
444,4,2e-05,0.1,0.05,0.2,1.0,3,3,0.3,0.5,0.2,0.6,0.4,37,0.8806,0.0574,0.14,0.90748,0.8793,0.0656,0.12,0.90699
256,4,1e-05,0.01,0.1,0.3,0.5,3,2,0.3,0.5,0.2,0.8,0.3,38,0.8669,0.082,0.13,0.89307,0.8606,0.0984,0.11,0.88698
512,4,1e-05,0.05,0.1,0.3,0.5,5,3,0.3,0.5,0.2,0.7,0.3,39,0.8694,0.082,0.11,0.89782,0.8687,0.0902,0.1,0.89551
380,8,1e-05,0.05,0.1,0.2,0.5,5,3,0.3,0.5,0.2,0.5,0.4,40,0.8402,0.1311,0.14,0.85851,0.8387,0.1311,0.13,0.86006
256,8,3e-05,0.1,0.05,0.1,1.0,3,3,0.3,0.5,0.2,0.7,0.3,41,0.8941,0.0574,0.1,0.91953,0.8845,0.082,0.09,0.90635
380,8,2e-05,0.05,0.1,0.2,1.0,5,2,0.3,0.5,0.2,0.6,0.2,42,0.8881,0.0902,0.07,0.90733,0.8787,0.1066,0.07,0.89631
256,16,1e-05,0.01,0.05,0.1,0.5,3,2,0.3,0.5,0.2,0.8,0.2,43,0.8441,0.0902,0.17,0.87413,0.7559,0.3115,0.08,0.75502
512,4,2e-05,0.05,0.05,0.3,0.5,3,3,0.3,0.5,0.2,0.8,0.4,44,0.8735,0.082,0.07,0.90705,0.8688,0.1066,0.05,0.89734
512,4,3e-05,0.01,0.05,0.3,0.5,3,3,0.3,0.5,0.2,0.8,0.3,45,0.8941,0.0574,0.1,0.91953,0.8886,0.0574,0.1,0.91788
380,16,3e-05,0.1,0.1,0.3,1.0,5,3,0.3,0.5,0.2,0.4,0.3,47,0.8774,0.0492,0.16,0.90662,0.8766,0.0492,0.15,0.90838
512,4,2e-05,0.1,0.1,0.2,0.5,5,3,0.3,0.5,0.2,0.6,0.3,48,0.8808,0.082,0.11,0.90124,0.8724,0.1066,0.11,0.88642
444,4,3e-05,0.1,0.1,0.3,0.5,3,2,0.3,0.5,0.2,0.8,0.2,49,0.8938,0.0656,0.09,0.91734,0.8879,0.0738,0.08,0.91347
512,4,3e-05,0.05,0.1,0.1,0.5,5,2,0.3,0.5,0.2,0.8,0.3,50,0.9023,0.0738,0.07,0.91979,0.8814,0.1066,0.06,0.89912
512,4,3e-05,0.05,0.1,0.3,1.0,5,3,0.3,0.5,0.2,0.5,0.2,51,0.8835,0.0656,0.1,0.91225,0.8781,0.0656,0.1,0.91063
